brightness,acq_date,bright_t31,frp,state
315.8,2019-11-06,302.1,9.5,Australian Capital Territory
301.4,2020-01-01,283.4,7.1,Australian Capital Territory
311.6,2020-01-02,298.4,7.7,Australian Capital Territory
327.2,2020-01-02,301.6,22.4,Australian Capital Territory
330,2020-01-02,300.9,29.4,Australian Capital Territory
315.1,2020-01-03,290.2,18,Australian Capital Territory
333.8,2020-01-03,309.3,43,Australian Capital Territory
328.2,2020-01-03,307.8,26.5,Australian Capital Territory
359.2,2020-01-03,312.1,137.6,Australian Capital Territory
330.6,2020-01-03,308.1,34.2,Australian Capital Territory
326.5,2020-01-03,308.5,24.4,Australian Capital Territory
324.7,2020-01-03,308.8,21.4,Australian Capital Territory
354.7,2020-01-03,311.2,113.2,Australian Capital Territory
348.4,2020-01-03,309.8,87.5,Australian Capital Territory
362.4,2020-01-04,306,80.9,Australian Capital Territory
397.6,2020-01-04,325.6,225.2,Australian Capital Territory
370.5,2020-01-04,306.4,106,Australian Capital Territory
381.3,2020-01-04,314.3,145.9,Australian Capital Territory
336.2,2020-01-04,301.4,28,Australian Capital Territory
317.1,2020-01-10,304.1,14.6,Australian Capital Territory
352.8,2020-01-11,301.7,66.8,Australian Capital Territory
348.2,2020-01-11,305,55.4,Australian Capital Territory
368.5,2020-01-11,310.1,111.8,Australian Capital Territory
325.4,2020-01-11,305.1,16.8,Australian Capital Territory
324.7,2020-01-11,304.5,12.7,Australian Capital Territory
343,2020-01-11,309.7,37.2,Australian Capital Territory
371.3,2020-01-11,313.8,115.3,Australian Capital Territory
353.2,2020-01-11,315.2,60.2,Australian Capital Territory
316.2,2020-01-11,283.3,17.8,Australian Capital Territory
310.3,2020-01-11,283,12.8,Australian Capital Territory
313.8,2020-01-11,282.5,16.6,Australian Capital Territory
323.7,2020-01-11,284.2,25.5,Australian Capital Territory
313.4,2020-01-11,279.1,14.7,Australian Capital Territory
309.1,2020-01-11,281.3,12,Australian Capital Territory
333.2,2020-01-11,283,36.2,Australian Capital Territory
