acq_date,count,max_brightness,max_bright_t31,max_frp,state
2019-10-01,207,100,44,528.2,Queensland
2019-10-02,110,99,43,158.6,Queensland
2019-10-03,150,119,42,783.1,Queensland
2019-10-04,293,132,46,799.5,Queensland
2019-10-05,157,103,48,341.2,Queensland
2019-10-06,391,122,48,468.2,Queensland
2019-10-07,229,120,56,523.9,Queensland
2019-10-08,389,101,45,494.6,Queensland
2019-10-09,396,116,51,248.7,Queensland
2019-10-10,134,109,49,797.0,Queensland
2019-10-11,233,127,52,396.2,Queensland
2019-10-12,141,133,50,1029.3,Queensland
2019-10-13,231,119,45,488.8,Queensland
2019-10-14,129,150,48,562.6,Queensland
2019-10-15,251,118,48,640.6,Queensland
2019-10-16,217,135,52,299.0,Queensland
2019-10-17,111,92,37,397.2,Queensland
2019-10-18,244,180,58,748.9,Queensland
2019-10-19,139,96,51,664.7,Queensland
2019-10-20,330,119,53,464.5,Queensland
2019-10-21,101,95,50,161.7,Queensland
2019-10-22,155,109,43,301.4,Queensland
2019-10-23,108,126,46,291.5,Queensland
2019-10-24,70,92,43,254.6,Queensland
2019-10-25,46,86,50,105.3,Queensland
2019-10-26,26,96,40,775.5,Queensland
2019-10-27,87,101,48,154.4,Queensland
2019-10-28,70,110,44,452.6,Queensland
2019-10-29,20,83,36,82.6,Queensland
2019-10-30,2,46,20,20.6,Queensland
2019-10-31,48,84,43,117.3,Queensland
2019-11-01,50,118,42,211.4,Queensland
2019-11-02,43,69,31,254.3,Queensland
2019-11-03,71,115,40,210.4,Queensland
2019-11-04,51,80,36,252.0,Queensland
2019-11-05,95,78,44,240.8,Queensland
2019-11-06,101,136,50,611.3,Queensland
2019-11-07,252,145,50,391.7,Queensland
2019-11-08,302,144,53,1549.1,Queensland
2019-11-09,453,171,47,651.6,Queensland
2019-11-10,513,170,57,756.1,Queensland
2019-11-11,232,93,54,404.8,Queensland
2019-11-12,541,151,52,776.5,Queensland
2019-11-13,289,149,48,2488.7,Queensland
2019-11-14,420,202,65,1163.7,Queensland
2019-11-15,270,113,50,556.0,Queensland
2019-11-16,340,134,47,531.4,Queensland
2019-11-17,514,204,67,2601.6,Queensland
2019-11-18,369,180,49,807.9,Queensland
2019-11-19,301,202,55,1854.2,Queensland
2019-11-20,173,116,52,703.8,Queensland
2019-11-21,275,127,44,596.7,Queensland
2019-11-22,88,108,46,159.4,Queensland
2019-11-23,304,129,43,567.9,Queensland
2019-11-24,151,117,48,210.9,Queensland
2019-11-25,138,112,48,573.4,Queensland
2019-11-26,127,95,43,149.0,Queensland
2019-11-27,48,79,41,74.6,Queensland
2019-11-28,143,131,43,554.1,Queensland
2019-11-29,100,113,47,302.1,Queensland
2019-11-30,269,147,47,396.2,Queensland
2019-12-01,138,124,39,971.2,Queensland
2019-12-02,390,147,46,701.3,Queensland
2019-12-03,320,154,57,779.0,Queensland
2019-12-04,348,122,51,665.1,Queensland
2019-12-05,339,156,58,505.4,Queensland
2019-12-06,283,148,54,806.8,Queensland
2019-12-07,543,155,60,866.2,Queensland
2019-12-08,532,183,64,1043.6,Queensland
2019-12-09,879,155,51,2226.2,Queensland
2019-12-10,264,129,55,299.2,Queensland
2019-12-11,294,121,50,1602.3,Queensland
2019-12-12,232,143,59,366.3,Queensland
2019-12-13,299,118,49,484.2,Queensland
2019-12-14,637,138,60,414.0,Queensland
2019-12-15,301,141,58,480.0,Queensland
2019-12-16,1052,228,126,3099.2,Queensland
2019-12-17,775,219,64,2540.9,Queensland
2019-12-18,1181,163,55,1267.9,Queensland
2019-12-19,908,171,68,634.7,Queensland
2019-12-20,851,118,49,733.4,Queensland
2019-12-21,642,121,52,300.4,Queensland
2019-12-22,367,103,50,350.6,Queensland
2019-12-23,630,150,46,1156.7,Queensland
2019-12-24,478,161,61,766.9,Queensland
2019-12-25,745,112,45,408.3,Queensland
2019-12-26,414,170,64,1049.3,Queensland
2019-12-27,232,156,44,848.6,Queensland
2019-12-28,166,133,52,645.9,Queensland
2019-12-29,94,122,43,475.3,Queensland
2019-12-30,280,122,54,259.3,Queensland
2019-12-31,244,181,50,2691.8,Queensland
2020-01-01,363,149,46,1257.2,Queensland
2020-01-02,321,138,54,497.8,Queensland
2020-01-03,245,86,43,313.5,Queensland
2020-01-04,173,121,56,251.9,Queensland
2020-01-05,258,116,45,830.4,Queensland
2020-01-06,162,100,48,126.8,Queensland
2020-01-07,43,81,34,339.9,Queensland
2020-01-08,123,99,46,390.8,Queensland
2020-01-09,130,151,56,1140.8,Queensland
2020-01-10,216,96,44,164.2,Queensland
2020-01-11,149,168,59,615.8,Queensland
